,Unnamed: 0,CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,CLTV,Churn Reason
0,5552,7838-LAZFO,1,United States,California,Hanford,93230,"36.29223, -119.622676",36.292229999999996,-119.622676,Male,No,Yes,No,45,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),78.8,3597.5,No,4192,
1,5805,8189-DUKMV,1,United States,California,Rancho Cordova,95742,"38.591134, -121.161585",38.591134000000004,-121.161585,Female,No,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.5,79.05,No,3233,
2,2640,3758-CKOQL,1,United States,California,Valyermo,93563,"34.39583, -117.734568",34.39583,-117.734568,Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),107.0,6152.3,No,4620,
3,3976,5619-PTMIK,1,United States,California,Lemon Grove,91945,"32.733564, -117.033713",32.733564,-117.03371299999999,Female,No,Yes,No,46,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,53.1,2459.8,No,3358,
4,6429,9115-YQHGA,1,United States,California,Lemoore,93245,"36.303666, -119.825657",36.303666,-119.825657,Male,No,No,No,40,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,51.1,2092.9,No,3355,
5,4553,6434-TTGJP,1,United States,California,Geyserville,95441,"38.731771, -123.064272",38.731771,-123.064272,Male,No,Yes,Yes,10,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),53.7,521.0,No,5671,
6,6262,8878-HMWBV,1,United States,California,Nice,95464,"39.12334, -122.838198",39.12334,-122.83819799999999,Male,No,No,No,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.15,169.05,Yes,5598,Competitor had better devices
7,4074,5766-ZJYBB,1,United States,California,Brisbane,94005,"37.684694, -122.40712",37.684694,-122.40711999999999,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,19.4,Yes,4152,Service dissatisfaction
8,3930,5543-QDCRY,1,United States,California,San Francisco,94103,"37.773147, -122.411287",37.773146999999994,-122.41128700000002,Male,No,No,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.4,234.85,No,5344,
9,1352,2013-SGDXK,1,United States,California,Mariposa,95338,"37.526791, -119.99437",37.526790999999996,-119.99436999999999,Female,No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,84.3,84.3,Yes,2172,Competitor offered more data
